mz	intensity	present	rsd	present_flag	rsd_flag	flags
174.895921523	67742.0065104	3	12.7474935286	1	1	1
174.991357047	14202.9332682	3	25.8890678314	1	0	0
174.999745809	10300.2470703	1	nan	0	0	0
175.000569041	22423.2102865	3	7.65597077174	1	1	1
175.001644581	260338.119792	3	11.0549390306	1	1	1
175.117835062	11734.1546224	3	7.20537052822	1	1	1
175.118937573	132234.947917	3	0.533307078677	1	1	1
176.0050021	12385.3291016	3	9.53544342046	1	1	1
176.122268855	8293.5871582	2	4.39906845147	1	1	1
176.893999183	10877.8789062	2	15.6295549634	1	1	1
176.999756521	15994.289388	3	16.3559181841	1	1	1
177.060844459	9447.43652344	1	nan	0	0	0
179.128411512	49655.6067708	3	14.2785501219	1	1	1
179.630124196	13400.1254883	2	25.6109534597	1	0	0
179.98221533	11039.8286133	2	2.98465220633	1	1	1
184.073322054	19520.2333984	3	18.2814821576	1	1	1
185.959737965	8975.72143555	2	10.9687741358	1	1	1
186.112465063	9972.99853516	2	11.8410986775	1	1	1
187.12461403	9364.53710938	1	nan	0	0	0
187.125876612	58439.0390625	3	30.8936964912	1	0	0
187.627555498	17448.4316406	1	nan	0	0	0
189.01595523	16920.3606771	3	10.1412601322	1	1	1
189.052307319	11339.3909505	3	29.1508696684	1	0	0
189.159769478	8995.65332031	2	15.2615808698	1	1	1
190.911895853	11157.7421875	2	12.0459815949	1	1	1
191.031604347	25358.4192708	3	3.11106890333	1	1	1
191.038799919	9819.21289062	2	8.88815712658	1	1	1
191.040041566	84194.6067708	3	12.617068825	1	1	1
191.104203755	11156.2858073	3	14.9675257704	1	1	1
191.150288439	7899.38476562	1	nan	0	0	0
192.014534544	38351.7526042	3	16.036461339	1	1	1
192.040802537	11081.7340495	3	11.2426700738	1	1	1
192.043362799	8948.46582031	1	nan	0	0	0
193.001918594	23501.8795573	3	27.3381583233	1	0	0
193.03756154	12971.3764648	2	4.99159827533	1	1	1
193.06252789	12248.734375	3	23.2447275719	1	0	0
193.982595194	15991.031901	3	16.8364103686	1	1	1
194.032568015	8340.23046875	1	nan	0	0	0
194.115121497	19231.6591797	3	23.5936680619	1	0	0
194.966606936	24961.9654948	3	10.7537950129	1	1	1
195.041803501	8944.58789062	1	nan	0	0	0
195.052979819	10994.5195312	1	nan	0	0	0
195.07819613	17335.9182943	3	8.97774117695	1	1	1
196.877835844	19744.3499349	3	16.220846273	1	1	1
196.969716859	11025.171875	3	23.7622545691	1	0	0
196.983590444	16284.3632812	2	0.242504012548	1	1	1
197.057466249	9785.61946615	3	16.4465430954	1	1	1
197.100768979	7488.78710938	1	nan	0	0	0
198.097164267	21497.750651	3	16.6921960215	1	1	1
198.985232194	8126.39257812	1	nan	0	0	0
198.997990359	8661.23730469	1	nan	0	0	0
199.073083069	10055.9946289	2	7.21598595598	1	1	1
199.109444526	14730.2382812	3	20.4701633797	1	0	0
199.169271565	15306.8942057	3	11.2464453057	1	1	1
200.051574006	8772.70279948	3	10.8701659029	1	1	1
200.065860601	16579.375	3	5.86735556312	1	1	1
200.066962816	55598.3958333	3	6.3539043778	1	1	1
200.06831997	455620.041667	3	5.1505027003	1	1	1
201.071673224	33049.8554688	3	1.02693610194	1	1	1
201.088719125	15812.858724	3	12.5206100882	1	1	1
201.932267969	10383.610026	3	9.56204369072	1	1	1
